Unnamed: 0,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio,Salary_Currency,salary_in_usd,Salary_In_USD
34.0,2020-01-01,Research Scientist,MI,FT,35806275.0,US,US,M,0,,,35806275.0
15.0,2020-01-01,Data Analyst,MI,FT,6763408.0,US,US,L,100,,,6763408.0
65.0,2020-01-01,Machine Learning Engineer,SE,FT,3629801.0,HR,HR,S,100,,,3629801.0
16.0,2020-01-01,Data Analyst,MI,FT,636556.0,PK,PK,L,50,,,636556.0
18.0,2020-01-01,Big Data Engineer,SE,FT,9074663.0,PL,GB,S,100,,,9074663.0
63.0,2020-01-01,Data Scientist,EN,PT,1724191.0,IT,IT,S,50,,,1724191.0
35.0,2020-01-01,Data Analyst,MI,FT,3720590.0,FR,FR,L,50,,,3720590.0
70.0,2020-01-01,Data Scientist,SE,FT,7259682.0,AT,AT,S,0,,,7259682.0
67.0,2020-01-01,Data Scientist,EN,FT,3920230.0,DE,DE,S,0,,,3920230.0
73.0,2021-01-01,Research Scientist,EN,FT,6566712.0,GB,GB,L,50,,,6566712.0
,2021-01-01,Data Scientist,MI,FT,76760.0,DE,DE,L,50,EUR,90734.0,76760.0
,2021-01-01,Machine Learning Engineer,EN,FT,21000.0,DE,DE,M,50,EUR,24823.0,21000.0
,2021-01-01,Big Data Engineer,MI,FT,18000.0,MD,MD,S,0,USD,18000.0,18000.0
,2021-01-01,Machine Learning Engineer,SE,FT,4900000.0,IN,IN,L,0,INR,66265.0,63700.0
,2021-01-01,Data Scientist,EN,FT,58000.0,US,US,L,50,USD,58000.0,58000.0
74.0,2021-01-01,BI Data Analyst,EX,FT,11935425.0,IN,US,L,100,,,11935425.0
,2021-01-01,Machine Learning Engineer,MI,FT,21000.0,SI,SI,L,50,EUR,24823.0,21000.0
,2021-01-01,Data Scientist,SE,FT,4000000.0,IN,IN,L,100,INR,54094.0,52000.0
,2021-01-01,Data Science Manager,SE,FT,4000000.0,IN,US,L,50,INR,54094.0,52000.0
,2021-01-01,Lead Data Scientist,SE,FT,3000000.0,IN,IN,L,50,INR,40570.0,39000.0
,2021-01-01,Machine Learning Research Engineer,EN,FT,20000.0,FR,FR,M,50,USD,20000.0,20000.0
,2021-01-01,Data Analyst,MI,FT,1250000.0,IN,IN,L,50,INR,16904.0,16250.0
,2021-01-01,Data Architect,MI,FT,170000.0,US,US,L,100,USD,170000.0,170000.0
,2021-01-01,Staff Data Scientist,SE,CT,105000.0,US,US,M,100,USD,105000.0,105000.0
,2021-01-01,Lead Data Analyst,MI,FT,1450000.0,IN,IN,L,100,INR,19609.0,18850.0
,2021-01-01,Machine Learning Developer,EN,FT,15000.0,TH,TH,L,100,USD,15000.0,15000.0
,2021-01-01,Data Engineer,EN,FT,1600000.0,IN,IN,M,50,INR,21637.0,20800.0
,2021-01-01,Big Data Engineer,MI,FT,1672000.0,IN,IN,L,0,INR,22611.0,21736.0
,2021-01-01,Machine Learning Engineer,EN,FT,20000.0,IN,IN,S,100,USD,20000.0,20000.0
,2021-01-01,Machine Learning Engineer,SE,FT,1799997.0,IN,IN,L,100,INR,24342.0,23399.961
,2021-01-01,Principal Data Analyst,SE,FT,170000.0,US,US,M,100,USD,170000.0,170000.0
,2021-01-01,Data Engineer,MI,FL,20000.0,IT,US,L,0,USD,20000.0,20000.0
,2021-01-01,Data Scientist,EN,FT,2100000.0,IN,IN,M,100,INR,28399.0,27300.0
,2021-01-01,AI Scientist,EN,FT,1335000.0,IN,AS,S,100,INR,18053.0,17355.0
,2021-01-01,Data Scientist,EN,FT,2200000.0,IN,IN,L,50,INR,29751.0,28600.0
,2021-01-01,Data Scientist,MI,FT,1250000.0,IN,IN,S,100,INR,16904.0,16250.0
,2021-01-01,Big Data Engineer,EN,FT,1200000.0,IN,IN,L,100,INR,16228.0,15600.0
,2021-01-01,Data Engineer,EN,FT,2250000.0,IN,IN,L,100,INR,30428.0,29250.0
,2021-01-01,Data Scientist,MI,FT,76760.0,DE,DE,L,50,EUR,90734.0,76760.0
,2021-01-01,Lead Data Analyst,SE,FT,170000.0,US,US,L,100,USD,170000.0,170000.0
,2021-01-01,Data Scientist,MI,FT,2500000.0,IN,IN,M,0,INR,33808.0,32500.0
,2021-01-01,Lead Data Engineer,SE,FT,276000.0,US,US,L,0,USD,276000.0,276000.0
,2021-01-01,Data Engineer,MI,FT,48000.0,HK,GB,S,50,GBP,66022.0,48000.0
,2021-01-01,ML Engineer,MI,FT,7000000.0,JP,JP,S,50,JPY,63711.0,64400.0
,2021-01-01,Data Engineer,EN,FT,72500.0,US,US,L,100,USD,72500.0,72500.0
,2021-01-01,Machine Learning Infrastructure Engineer,SE,FT,195000.0,US,US,M,100,USD,195000.0,195000.0
,2021-01-01,Data Engineer,MI,FT,111775.0,US,US,M,0,USD,111775.0,111775.0
,2021-01-01,Data Engineer,MI,FT,112000.0,US,US,L,100,USD,112000.0,112000.0
76.0,2021-01-01,Data Scientist,SE,FT,4232461.0,FR,FR,L,50,,,4232461.0
,2021-01-01,Data Engineer,MI,FT,250000.0,TR,TR,M,100,TRY,28016.0,250000.0
,2021-01-01,Data Analyst,MI,FT,62000.0,US,US,L,0,USD,62000.0,62000.0
,2021-01-01,Director of Data Science,EX,FT,250000.0,US,US,L,0,USD,250000.0,250000.0
,2021-01-01,Cloud Data Architect,SE,FT,250000.0,US,US,L,50,USD,250000.0,250000.0
,2021-01-01,Data Analyst,SE,FT,115000.0,US,US,S,100,USD,115000.0,115000.0
,2021-01-01,Data Scientist,MI,FT,73000.0,US,US,L,0,USD,73000.0,73000.0
,2021-01-01,Data Scientist,EN,FT,100000.0,US,US,M,100,USD,100000.0,100000.0
,2021-01-01,BI Data Analyst,MI,FT,100000.0,US,US,M,100,USD,100000.0,100000.0
,2021-01-01,Data Engineer,MI,FT,100000.0,US,US,L,100,USD,100000.0,100000.0
,2021-01-01,Machine Learning Developer,EN,FT,100000.0,IQ,IQ,S,50,USD,100000.0,100000.0
,2021-01-01,Data Scientist,EN,FT,100000.0,US,US,S,0,USD,100000.0,100000.0
,2021-01-01,Data Engineer,SE,FT,65000.0,RO,GB,S,50,EUR,76833.0,65000.0
,2021-01-01,Data Science Consultant,EN,FT,65000.0,DE,DE,L,0,EUR,76833.0,65000.0
,2021-01-01,Data Science Consultant,EN,FT,65000.0,DE,DE,S,100,EUR,76833.0,65000.0
,2021-01-01,Machine Learning Engineer,EN,FT,125000.0,US,US,S,100,USD,125000.0,125000.0
,2021-01-01,Big Data Architect,SE,FT,125000.0,CA,CA,M,50,CAD,99703.0,125000.0
,2021-01-01,Data Science Manager,SE,FT,144000.0,US,US,L,100,USD,144000.0,144000.0
,2021-01-01,Research Scientist,EN,FT,100000.0,JE,CN,L,0,USD,100000.0,100000.0
,2021-01-01,Computer Vision Engineer,SE,FT,102000.0,BR,BR,M,0,BRL,18907.0,102000.0
,2021-01-01,Machine Learning Engineer,MI,FT,74000.0,JP,JP,S,50,USD,74000.0,74000.0
,2021-01-01,Data Analyst,MI,FT,75000.0,US,US,L,0,USD,75000.0,75000.0
,2021-01-01,ML Engineer,MI,FT,8500000.0,JP,JP,S,50,JPY,77364.0,78200.0
75.0,2021-01-01,Head of Data,EX,FT,18698833.0,US,US,L,100,,,18698833.0
,2021-01-01,BI Data Analyst,MI,FT,11000000.0,HU,US,L,50,HUF,36259.0,36300.0
,2021-01-01,Data Scientist,MI,FT,30400000.0,CL,CL,L,100,CLP,40038.0,39520.0
,2021-01-01,Data Analyst,MI,FT,93000.0,US,US,L,100,USD,93000.0,93000.0
,2021-01-01,Data Science Consultant,EX,FT,59000.0,FR,ES,S,100,EUR,69741.0,59000.0
,2021-01-01,Data Engineer,MI,PT,59000.0,NL,NL,L,100,EUR,69741.0,59000.0
,2021-01-01,Principal Data Scientist,SE,FT,220000.0,US,US,L,0,USD,220000.0,220000.0
